1000
Patrik 674
Josip 1 743
Patrik 782
Josip 1 881
Josip 2 684
Josip 6 734
Josip 6 819
Josip 6 970
Josip 7 552
Josip 8 873
Josip 8 951
Josip 10 611
Josip 10 936
Josip 11 544
Josip 15 517
Josip 14 569
Josip 15 935
Josip 16 454
Josip 17 965
Josip 20 675
Josip 21 762
Josip 21 891
Josip 22 788
Josip 24 806
Josip 25 892
Josip 26 366
Josip 26 819
Josip 28 538
Josip 29 238
Josip 29 477
Josip 31 929
Josip 32 510
Josip 33 482
Josip 33 955
Josip 33 966
Josip 36 88
Josip 35 909
Josip 37 867
Josip 38 173
Josip 39 746
Josip 40 670
Josip 41 927
Josip 41 975
Josip 42 993
Josip 45 356
Josip 45 619
Josip 44 729
Josip 48 28
Josip 43 806
Josip 43 966
Josip 43 981
Josip 44 981
Josip 46 658
Josip 47 849
Josip 49 827
Josip 47 963
Josip 51 893
Josip 56 562
Josip 55 691
Josip 58 588
Josip 55 879
Josip 62 726
Josip 59 996
Josip 59 1000
Josip 62 902
Josip 64 770
Josip 66 662
Josip 63 874
Josip 63 993
Josip 67 315
Josip 66 935
Josip 68 959
Josip 72 775
Josip 73 831
Josip 74 859
Josip 76 287
Josip 76 989
Josip 78 930
Josip 78 936
Josip 80 968
Josip 79 982
Josip 81 484
Josip 81 971
Josip 82 992
Josip 85 787
Josip 84 879
Josip 85 909
Josip 88 606
Josip 88 627
Josip 90 421
Josip 90 882
Josip 90 920
Josip 91 994
Josip 94 77
Josip 93 701
Josip 94 959
Josip 96 947
Josip 97 232
Josip 97 412
Josip 98 949
Josip 99 938
Josip 98 997
Josip 103 2
Josip 99 968
Josip 101 509
Josip 105 895
Josip 102 940
Josip 106 573
Josip 108 958
Josip 108 997
Josip 110 948
Josip 112 567
Josip 112 973
Josip 114 296
Josip 113 944
Josip 116 617
Josip 117 322
Josip 117 579
Josip 118 350
Josip 118 650
Josip 119 708
Josip 121 521
Josip 123 686
Josip 122 933
Josip 123 773
Josip 122 986
Josip 123 846
Josip 123 916
Josip 123 976
Josip 130 379
Josip 125 721
Josip 131 457
Josip 130 987
Josip 130 989
Josip 130 1000
Josip 136 916
Josip 135 947
Josip 137 39
Josip 139 891
Josip 140 565
Josip 140 681
Josip 141 828
Josip 143 959
Josip 143 989
Josip 144 525
Josip 146 176
Josip 146 248
Josip 148 694
Josip 146 960
Josip 147 923
Josip 150 889
Josip 151 866
Josip 151 973
Josip 154 8
Josip 151 989
Josip 152 861
Josip 155 671
Josip 153 945
Josip 155 907
Josip 158 668
Josip 160 750
Josip 160 862
Josip 159 993
Josip 161 867
Josip 165 755
Josip 165 825
Josip 166 856
Josip 166 915
Josip 166 977
Josip 170 247
Josip 171 221
Josip 172 129
Josip 169 884
Josip 170 842
Josip 172 890
Josip 174 687
Josip 176 592
Josip 177 521
Josip 178 512
Josip 177 959
Josip 178 740
Josip 180 302
Josip 182 772
Josip 184 652
Josip 185 253
Josip 185 497
Josip 187 567
Josip 186 893
Josip 186 957
Josip 186 961
Josip 186 992
Josip 188 907
Josip 189 889
Josip 193 413
Josip 193 785
Josip 193 793
Josip 196 801
Josip 197 858
Josip 198 112
Josip 197 939
Josip 201 851
Josip 201 856
Josip 202 582
Josip 203 896
Josip 204 555
Josip 204 859
Josip 205 596
Josip 204 993
Josip 207 518
Josip 208 893
Josip 210 474
Josip 207 993
Josip 208 939
Josip 213 284
Josip 212 402
Josip 212 961
Josip 217 401
Josip 217 731
Josip 219 461
Josip 219 492
Josip 218 845
Josip 218 911
Josip 218 979
Josip 221 366
Josip 220 598
Josip 225 483
Josip 223 834
Josip 220 963
Josip 224 908
Josip 225 929
Josip 228 868
Josip 228 956
Josip 233 228
Josip 231 930
Josip 235 670
Josip 236 101
Josip 234 983
Josip 236 589
Josip 236 803
Josip 238 618
Josip 240 845
Josip 242 347
Josip 243 775
Josip 244 166
Josip 244 694
Josip 244 882
Josip 244 901
Josip 246 919
Josip 248 801
Josip 250 436
Josip 249 554
Josip 250 654
Josip 252 540
Josip 254 968
Josip 254 984
Josip 255 637
Josip 257 17
Josip 257 212
Josip 259 466
Josip 260 155
Josip 258 953
Josip 261 340
Josip 259 968
Josip 264 798
Josip 263 998
Josip 266 881
Josip 266 888
Josip 267 680
Josip 267 759
Josip 267 959
Josip 268 978
Josip 270 412
Josip 270 644
Josip 272 912
Josip 274 560
Josip 275 991
Josip 276 946
Josip 277 547
Josip 277 562
Josip 279 695
Josip 281 184
Josip 279 958
Josip 283 195
Josip 282 637
Josip 283 592
Josip 285 433
Josip 287 989
Josip 287 990
Josip 289 533
Josip 290 995
Josip 290 999
Josip 292 577
Josip 293 499
Josip 293 544
Josip 293 618
Josip 295 677
Josip 294 978
Josip 297 840
Josip 299 112
Josip 298 957
Josip 301 115
Josip 300 747
Josip 301 623
Josip 302 609
Josip 301 798
Josip 301 886
Josip 306 413
Josip 303 926
Josip 306 825
Josip 310 1
Josip 308 525
Josip 309 740
Josip 310 870
Josip 310 912
Josip 314 149
Josip 314 897
Josip 317 202
Josip 316 961
Josip 316 974
Josip 316 978
Josip 317 428
Josip 322 791
Josip 322 864
Josip 322 894
Josip 323 839
Josip 323 841
Josip 323 869
Josip 328 503
Josip 327 560
Josip 327 788
Josip 327 924
Josip 329 492
Josip 328 996
Josip 334 710
Josip 334 998
Josip 334 999
Josip 336 412
Josip 336 610
Josip 335 969
Josip 339 618
Josip 340 786
Josip 341 353
Josip 340 982
Josip 341 747
Josip 345 943
Josip 346 842
Josip 346 879
Josip 347 666
Josip 349 48
Josip 350 298
Josip 349 766
Josip 352 541
Josip 351 976
Josip 351 999
Josip 354 457
Josip 354 964
Josip 357 504
Josip 358 465
Josip 357 988
Josip 360 485
Josip 360 569
Josip 362 406
Josip 363 517
Josip 363 541
Josip 362 994
Josip 363 941
Josip 365 728
Josip 364 936
Josip 368 397
Josip 368 850
Josip 369 802
Josip 368 997
Josip 372 524
Josip 371 960
Josip 372 890
Josip 372 984
Josip 372 992
Josip 374 965
Josip 377 703
Josip 377 731
Josip 381 369
Josip 380 483
Josip 381 929
Josip 380 982
Josip 383 825
Josip 384 561
Josip 386 431
Josip 388 172
Josip 386 735
Josip 389 610
Josip 391 304
Josip 390 994
Josip 392 668
Josip 391 986
Josip 392 923
Josip 394 465
Josip 397 658
Josip 398 876
Josip 399 869
Josip 399 967
Josip 399 990
Josip 401 300
Josip 403 332
Josip 403 901
Josip 403 969
Josip 403 972
Josip 404 975
Josip 404 989
Josip 407 398
Josip 405 475
Josip 405 836
Josip 410 577
Josip 410 827
Josip 408 929
Josip 414 269
Josip 416 919
Josip 417 249
Josip 417 767
Josip 417 883
Josip 417 886
Josip 421 123
Josip 422 864
Josip 422 924
Josip 423 396
Josip 423 827
Josip 423 948
Josip 425 631
Josip 428 306
Josip 425 938
Josip 425 952
Josip 430 41
Josip 432 547
Josip 428 944
Josip 428 979
Josip 435 19
Josip 428 999
Josip 429 822
Josip 436 581
Josip 435 759
Josip 434 959
Josip 439 424
Josip 442 82
Josip 438 958
Josip 438 977
Josip 445 626
Josip 443 736
Josip 445 940
Josip 448 100
Josip 448 352
Josip 450 258
Josip 451 418
Josip 449 967
Josip 449 974
Josip 451 541
Josip 452 385
Josip 453 732
Josip 456 599
Josip 457 701
Josip 458 550
Josip 457 873
Josip 457 993
Josip 458 961
Josip 459 750
Josip 463 789
Josip 464 857
Josip 466 276
Josip 465 726
Josip 468 385
Josip 469 309
Josip 467 919
Josip 471 870
Josip 470 991
Josip 471 953
Josip 474 346
Josip 473 665
Josip 475 412
Josip 472 891
Josip 473 945
Josip 472 994
Josip 476 618
Josip 478 834
Josip 478 975
Josip 480 989
Josip 480 996
Josip 482 950
Josip 483 833
Josip 482 981
Josip 487 699
Josip 489 473
Josip 489 836
Josip 489 842
Josip 491 121
Josip 493 569
Josip 493 739
Josip 493 933
Josip 493 983
Josip 494 915
Josip 494 926
Josip 499 579
Josip 500 187
Josip 500 638
Josip 500 885
Josip 503 861
Josip 504 171
Josip 505 260
Josip 506 552
Josip 505 839
Josip 507 31
Josip 509 930
Josip 510 642
Josip 511 210
Josip 510 941
Josip 511 543
Josip 513 265
Josip 515 718
Josip 513 993
Josip 515 754
Josip 514 783
Josip 519 70
Josip 515 930
Josip 520 342
Josip 518 633
Josip 517 941
Josip 518 928
Josip 525 219
Josip 525 785
Josip 527 81
Josip 528 407
Josip 527 722
Josip 527 969
Josip 528 998
Josip 528 1000
Josip 530 567
Josip 530 742
Josip 534 215
Josip 531 800
Josip 531 947
Josip 535 875
Josip 535 990
Josip 540 322
Josip 541 663
Josip 541 971
Josip 541 997
Josip 543 422
Josip 544 871
Josip 545 711
Josip 545 738
Josip 547 471
Josip 547 488
Josip 547 816
Josip 550 594
Josip 552 722
Josip 551 999
Josip 553 257
Josip 552 988
Josip 556 284
Josip 556 408
Josip 558 76
Josip 559 570
Josip 560 905
Josip 561 970
Josip 562 459
Josip 562 938
Josip 563 551
Josip 564 472
Josip 565 938
Josip 567 404
Josip 568 526
Josip 569 429
Josip 570 219
Josip 569 817
Josip 572 263
Josip 572 390
Josip 573 373
Josip 571 825
Josip 572 766
Josip 577 881
Josip 577 940
Josip 579 150
Josip 579 265
Josip 579 459
Josip 581 621
Josip 580 977
Josip 582 898
Josip 585 973
Josip 586 883
Josip 587 386
Josip 587 498
Josip 589 357
Josip 587 936
Josip 589 751
Josip 589 809
Josip 588 952
Josip 591 515
Josip 589 954
Josip 589 984
Josip 591 679
Josip 593 395
Josip 596 729
Josip 595 742
Josip 592 949
Josip 601 469
Josip 601 501
Josip 601 849
Josip 600 995
Josip 604 886
Josip 606 894
Josip 607 562
Josip 608 826
Josip 608 870
Josip 611 292
Josip 612 276
Josip 612 918
Josip 612 989
Josip 613 843
Josip 616 905
Josip 617 108
Josip 617 883
Josip 617 992
Josip 619 792
Josip 619 979
Josip 619 996
Josip 620 968
Josip 622 828
Josip 625 186
Josip 625 719
Josip 625 746
Josip 627 931
Josip 628 972
Josip 630 740
Josip 630 881
Josip 631 472
Josip 631 941
Josip 634 976
Josip 635 676
Josip 636 528
Josip 636 955
Josip 638 471
Josip 637 951
Josip 638 574
Josip 641 68
Josip 641 292
Josip 641 685
Josip 641 942
Josip 642 888
Josip 642 921
Josip 641 997
Josip 647 38
Josip 643 924
Josip 645 664
Josip 651 346
Josip 648 964
Josip 652 236
Josip 652 900
Josip 652 949
Josip 653 947
Josip 657 639
Josip 655 996
Josip 658 675
Josip 659 480
Josip 660 576
Josip 662 182
Josip 663 718
Josip 662 917
Josip 662 935
Josip 664 559
Josip 664 673
Josip 665 734
Josip 664 767
Josip 669 859
Josip 669 953
Josip 670 983
Josip 670 999
Josip 674 731
Josip 673 863
Josip 673 950
Josip 674 992
Josip 674 995
Josip 677 321
Josip 680 378
Josip 680 579
Josip 678 860
Josip 682 140
Josip 679 982
Josip 681 492
Josip 682 886
Josip 684 886
Josip 687 653
Josip 689 966
