1000
Patrik 371881150
Josip 2 771410284
Josip 2 999498014
Josip 2 999887110
Josip 5 929312346
Josip 6 862069140
Josip 6 919297134
Josip 7 107642268
Josip 8 419676665
Josip 9 465151723
Josip 11 192264806
Josip 11 649051678
Josip 11 766416378
Josip 10 914136574
Josip 15 874763650
Josip 14 984385385
Josip 15 947323929
Josip 16 146952839
Josip 17 432207921
Josip 19 892772415
Josip 18 994339420
Josip 21 799210990
Josip 22 993320297
Josip 24 531777994
Josip 23 774380672
Josip 25 581075528
Josip 25 845428114
Josip 26 833356980
Josip 26 895360109
Josip 27 383854560
Josip 28 781495490
Josip 31 843908919
Josip 32 986781142
Josip 33 944145184
Josip 35 398130098
Josip 36 65058706
Josip 35 727640588
Josip 38 547880675
Josip 37 814522820
Josip 36 956771267
Josip 38 913086927
Josip 41 575387989
Josip 39 919269729
Josip 43 953483646
Josip 44 877562479
Josip 45 195747387
Josip 47 30219056
Josip 45 241371917
Josip 44 965424233
Josip 45 324004739
Josip 46 765798807
Josip 45 986582438
Josip 47 907634001
Josip 54 114621096
Josip 49 977271140
Josip 51 924714901
Josip 50 992012166
Josip 50 992777354
Josip 54 584631717
Josip 52 998259560
Josip 61 927631047
Josip 61 943997139
Josip 61 976775247
Josip 61 997939970
Josip 64 405449653
Josip 63 508053380
Josip 65 928485356
Josip 64 964427709
Josip 65 974859628
Josip 70 734375325
Josip 70 830925547
Josip 70 892600020
Josip 68 953578930
Josip 71 516953014
Josip 71 967674824
Josip 73 951066941
Josip 74 997391823
Josip 77 531865275
Josip 78 881851946
Josip 77 942860739
Josip 80 116371177
Josip 81 479611895
Josip 82 904817063
Josip 83 589809348
Josip 85 793356074
Josip 86 564619712
Josip 87 862507143
Josip 88 828193920
Josip 88 921882347
Josip 90 345425639
Josip 90 496111708
Josip 91 199391839
Josip 93 547991464
Josip 93 599544945
Josip 95 684806648
Josip 95 861801809
Josip 96 328782987
Josip 98 302052495
Josip 99 896871212
Josip 99 979113797
Josip 100 295395548
Josip 102 691402961
Josip 101 980303343
Josip 104 956422300
Josip 104 978585225
Josip 106 843140329
Josip 106 993633206
Josip 106 994810554
Josip 106 999514148
Josip 108 442523594
Josip 111 802161780
Josip 112 595155658
Josip 113 582292573
Josip 114 183779020
Josip 114 598444189
Josip 114 919558978
Josip 117 77556684
Josip 115 923157541
Josip 117 411741266
Josip 118 508863825
Josip 116 962163775
Josip 122 46129024
Josip 123 906840208
Josip 124 703188127
Josip 125 892601443
Josip 126 573609648
Josip 126 741534159
Josip 127 301605939
Josip 129 405610879
Josip 127 994587926
Josip 130 557656157
Josip 130 614186693
Josip 131 398558849
Josip 131 975995257
Josip 133 764036047
Josip 133 782537357
Josip 136 896646177
Josip 136 938190126
Josip 136 974456327
Josip 139 867774930
Josip 139 896662706
Josip 139 919072958
Josip 141 378157919
Josip 141 475863566
Josip 145 202459751
Josip 142 701393538
Josip 146 349705893
Josip 143 996947994
Josip 146 888005471
Josip 146 951767199
Josip 146 996137726
Josip 149 779700921
Josip 153 29710488
Josip 153 239292179
Josip 155 895594151
Josip 155 937553663
Josip 156 342266410
Josip 158 998013399
Josip 159 286129883
Josip 159 601556067
Josip 159 915988512
Josip 160 901918358
Josip 160 911293746
Josip 164 699963739
Josip 164 928923721
Josip 164 947796356
Josip 167 909410702
Josip 167 911380052
Josip 168 187995220
Josip 169 474736024
Josip 169 685005085
Josip 172 680304477
Josip 171 965517726
Josip 173 454020191
Josip 174 693943579
Josip 175 351097358
Josip 174 820560065
Josip 177 670003059
Josip 177 677447532
Josip 180 674554358
Josip 180 884219876
Josip 182 702234977
Josip 182 739374916
Josip 183 421166629
Josip 183 757911099
Josip 186 464427065
Josip 186 964893797
Josip 188 981317842
Josip 188 992017935
Josip 189 834535871
Josip 189 927134350
