1000
Patrik 555586959
Patrik 589129617
Josip 2 104606803
Josip 1 684159174
Josip 2 734822018
Josip 4 670967761
Josip 2 804271291
Josip 5 885639604
Josip 9 375447101
Josip 8 931147628
Josip 7 980160374
Josip 8 994869856
Josip 11 843290110
Josip 12 872581155
Josip 14 764118554
Josip 14 984301675
Josip 17 11769607
Josip 15 989388393
Josip 17 892259525
Josip 19 952364574
Josip 20 554504949
Josip 22 808002547
Josip 23 25260410
Josip 23 63828502
Josip 23 790197735
Josip 24 866312143
Josip 26 255097977
Josip 25 986181451
Josip 25 989284778
Josip 26 512370239
Josip 26 900057702
Josip 29 841796403
Josip 31 871637534
Josip 34 152087742
Josip 32 871491073
Josip 36 680796446
Josip 36 711109983
Josip 38 249112035
Josip 37 360554750
Josip 40 257473631
Josip 38 966184369
Josip 38 999508123
Josip 38 999514561
Josip 40 716173032
Josip 45 947276811
Josip 46 710993350
Josip 47 137562532
Josip 47 205962857
Josip 49 68772530
Josip 50 997447979
Josip 51 431567614
Josip 51 843598956
Josip 53 331478485
Josip 53 816935599
Josip 53 822828705
Josip 55 785250959
Josip 55 969142394
Josip 57 970868161
Josip 57 973826158
Josip 57 993019153
Josip 60 913157225
Josip 60 921695308
Josip 63 664927548
Josip 62 715870199
Josip 63 999129527
Josip 65 528390881
Josip 67 714615756
Josip 68 230697480
Josip 67 951711971
Josip 70 741311339
Josip 71 4763554
Josip 72 524251926
Josip 73 985935604
Josip 73 996158050
Josip 75 647885966
Josip 75 936251118
Josip 74 984405380
Josip 76 488711495
Josip 77 579361182
Josip 80 510391100
Josip 80 703210074
Josip 82 883220405
Josip 82 974931052
Josip 82 982088184
Josip 84 418024165
Josip 86 514932558
Josip 84 979780057
Josip 85 985437790
Josip 87 281911115
Josip 87 375693008
Josip 91 545513873
Josip 88 883733584
Josip 89 911976120
Josip 89 937498797
Josip 89 970592919
Josip 93 432159632
Josip 93 961897370
Josip 96 964478538
Josip 97 783684424
Josip 99 943750182
Josip 101 749161771
Josip 101 762181383
Josip 102 159273647
Josip 104 914160394
Josip 105 83500130
Josip 106 540782023
Josip 107 13728844
Josip 107 502926374
Josip 107 984438738
Josip 110 433111039
Josip 111 221139693
Josip 112 926051281
Josip 113 933800623
Josip 114 816726681
Josip 114 830014179
Josip 116 836859884
Josip 117 213328849
Josip 117 733671074
Josip 117 818104544
Josip 120 356670868
Josip 119 445330391
Josip 122 419979808
Josip 119 865929958
Josip 120 827932927
Josip 122 483373253
Josip 123 521247358
Josip 127 483929381
Josip 125 967712267
Josip 125 982500795
Josip 130 270774844
Josip 131 914880039
Josip 132 634356864
Josip 132 964529665
Josip 133 467974058
Josip 135 271332842
Josip 135 832682099
Josip 136 675850244
Josip 135 995792777
Josip 137 929557953
Josip 138 957200323
Josip 140 944029212
Josip 142 327996340
