1000
Patrik 329603005
Josip 2 129290503
Josip 1 549787778
Patrik 566508431
Patrik 761776647
Patrik 968448746
Patrik 980056501
Josip 4 920568199
Josip 9 18731915
Josip 7 673898898
Josip 10 226996252
Josip 8 942568502
Josip 8 959298140
Josip 12 270646351
Josip 10 933401558
Josip 9 981729780
Josip 15 647405968
Josip 14 770904154
Josip 19 414517701
Josip 17 674914599
Josip 16 981553039
Josip 22 460854825
Josip 23 96773755
Josip 23 621595425
Josip 25 232636487
Josip 26 145398224
Josip 25 819599098
Josip 28 978293174
Josip 29 713846156
Josip 30 9192663
Josip 29 751461606
Josip 31 487094030
Josip 33 678396242
Josip 33 968299959
Josip 33 980975303
Josip 33 994492613
Josip 33 998403850
Josip 37 585561063
Josip 37 896488552
Josip 35 947432807
Josip 41 524339608
Josip 39 884799539
Josip 42 143281441
Josip 40 808302072
Josip 45 928005627
Josip 46 257150744
Josip 47 79246098
Josip 48 552854245
Josip 48 697963621
Josip 50 157904812
Josip 47 998297146
Josip 51 192004928
Josip 53 26789426
Josip 51 829434078
Josip 53 758673570
Josip 51 988991833
Josip 54 919719842
Josip 53 975163941
Josip 54 951528890
Josip 59 972955844
Josip 60 989982995
Josip 62 280078122
Josip 63 545392108
Josip 62 911898378
Josip 65 694980981
Josip 64 810526265
Josip 64 812273360
Josip 66 346559865
Josip 68 531381600
Josip 70 9151705
Josip 69 807367126
Josip 70 808208959
Josip 71 889556897
Josip 72 978223772
Josip 72 995657494
Josip 76 946552835
Josip 75 977231962
Josip 76 968348036
Josip 79 599106309
Josip 77 766055346
Josip 81 571008289
Josip 80 998222128
Josip 83 117427972
Josip 83 341492814
Josip 83 611176708
Josip 86 542073699
Josip 85 929465513
Josip 85 955176643
Josip 86 943647942
Josip 88 678170126
Josip 88 952241614
Josip 92 759505459
Josip 93 430975739
Josip 94 398072982
Josip 93 865972472
Josip 94 765631150
Josip 96 883248130
Josip 96 908527790
Josip 95 968407140
Josip 96 977313270
Josip 98 314907068
Josip 99 564090789
Josip 99 602612050
Josip 103 767951180
Josip 104 795218904
Josip 105 271649875
Josip 107 250217189
Josip 106 677788268
Josip 105 928498254
Josip 108 714483725
Josip 108 762235986
Josip 108 943896554
Josip 112 585035246
Josip 110 982865157
Josip 114 622099042
Josip 114 888170001
Josip 114 901273593
Josip 115 994551551
Josip 119 251227841
Josip 119 922229249
Josip 119 986692096
Josip 120 869316413
Josip 121 312117335
Josip 122 814910924
Josip 123 841252195
Josip 124 935668687
Josip 125 997766269
Josip 126 865041059
Josip 127 751412604
Josip 128 348179420
Josip 131 958330234
Josip 132 185018075
Josip 132 194589241
Josip 134 68563641
Josip 133 697348684
Josip 134 809523739
Josip 137 852031998
Josip 137 968086073
Josip 137 991148460
Josip 138 238293151
Josip 140 949722641
Josip 139 998724214
Josip 140 992596283
Josip 142 595214481
Josip 144 965923105
Josip 146 536410544
Josip 146 972925358
Josip 147 591823267
Josip 148 710838922
Josip 149 780816577
Josip 148 970750304
Josip 148 991736380
Josip 150 523867971
Josip 154 282153695
Josip 150 934463970
Josip 151 829878569
Josip 153 928989346
Josip 155 951216229
Josip 157 801756119
Josip 159 744112788
Josip 160 751632607
Josip 159 987653609
Josip 162 782666040
Josip 164 53326111
Josip 163 702058758
Josip 161 959240813
Josip 164 150720756
Josip 165 513500569
Josip 167 932367778
Josip 169 918026107
Josip 170 999172954
Josip 170 999708850
Josip 172 228148253
Josip 174 159806341
Josip 173 735710290
Josip 172 913403991
Josip 173 994046255
Josip 177 134602582
Josip 178 131557891
Josip 180 780773774
Josip 181 115597499
Josip 180 925586969
Josip 181 365841648
Josip 181 475849604
Josip 184 391457739
Josip 183 710826490
Josip 184 908679031
Josip 188 279088090
Josip 189 831974543
Josip 189 893743757
Josip 189 920380296
Josip 190 994705234
Josip 190 997992681
Josip 190 999993189
Josip 191 992046401
Josip 194 709050656
Josip 195 781863182
Josip 194 855684800
Josip 195 966122501
Josip 197 547971444
Josip 199 479482765
Josip 201 294091040
Josip 197 852156618
Josip 200 931443747
Josip 203 791219442
Josip 204 899628286
Josip 204 929018506
Josip 208 13614677
Josip 208 185061134
Josip 209 175398988
Josip 208 789789084
Josip 211 602545032
Josip 213 44756116
Josip 208 853931054
Josip 208 858625855
Josip 207 956106260
Josip 212 787728155
Josip 217 739948301
Josip 213 881431200
Josip 216 951153745
Josip 214 976194430
Josip 217 977970511
Josip 219 323621535
Josip 224 581324355
Josip 223 767844633
Josip 225 238566510
Josip 226 323807684
Josip 228 918063260
Josip 228 951430071
Josip 228 965943466
Josip 229 947213269
Josip 229 953232054
Josip 232 401706978
Josip 232 419336223
Josip 233 573896962
Josip 232 688435642
Josip 233 822817282
Josip 234 801557219
