1000
Patrik 229495688
Josip 1 877759889
Josip 3 880484044
Josip 3 961807355
Josip 4 320975549
Josip 4 634467724
Josip 4 814021511
Josip 5 857798118
Josip 4 950165321
Josip 6 651243424
Josip 9 523678294
Josip 12 456064654
Josip 10 970909080
Josip 11 977526404
Josip 15 524248631
Josip 14 865444864
Josip 13 953696134
Josip 18 181202755
Josip 18 893049729
Josip 18 897405536
Josip 18 908157710
Josip 17 998288864
Josip 22 522436229
Josip 22 971322009
Josip 24 808128194
Josip 24 839476213
Josip 24 985942305
Josip 24 994534765
Josip 28 107886291
Josip 28 901400570
Josip 30 847180390
Josip 32 69527907
Josip 33 216756237
Josip 31 709921515
Josip 34 996046687
Josip 34 996777116
Josip 37 137647822
Josip 38 418521784
Josip 37 843140098
Josip 39 590573007
Josip 40 578965998
Josip 40 910743707
Josip 42 371052965
Josip 40 958392007
Josip 40 979642446
Josip 44 786664669
Josip 45 992598556
Josip 48 796608231
Josip 49 849061591
Josip 49 925302857
Josip 49 943126893
Josip 51 605426458
Josip 51 734805430
Josip 53 576348256
Josip 54 669805149
Josip 54 905326454
Josip 56 763812384
Josip 58 889600058
Josip 58 946631487
Josip 59 519049968
Josip 61 20363654
Josip 59 899068420
Josip 59 992697487
Josip 63 828807533
Josip 64 916870604
Josip 64 981150469
Josip 65 780982228
Josip 67 860016174
Josip 67 883097918
Josip 67 887402182
Josip 67 904615041
Josip 68 658951799
Josip 73 896630880
Josip 73 950824518
Josip 74 59127268
Josip 73 960243913
Josip 76 668025517
Josip 77 861697248
Josip 76 905008343
Josip 77 938763969
Josip 80 940722568
Josip 80 953082617
Josip 81 976897303
Josip 81 979325024
Josip 82 537909345
Josip 86 460534726
Josip 87 637094090
Josip 88 892128338
Josip 88 953977067
Josip 90 996390031
Josip 90 998368866
Josip 92 102164780
Josip 92 466698414
Josip 93 805271792
Josip 92 922484160
Josip 92 943585987
Josip 93 885784578
Josip 96 74178361
Josip 99 767957835
Josip 97 873150336
Josip 97 928234410
Josip 102 479382473
Josip 101 747994842
Josip 102 935561026
Josip 105 514262659
Josip 106 485002945
Josip 105 999621642
Josip 106 584615240
Josip 108 595038643
Josip 108 801513890
Josip 109 957553493
Josip 112 390260858
Josip 111 918148816
Josip 111 996615446
Josip 112 951527000
Josip 114 878914137
Josip 117 380347470
Josip 118 608422558
Josip 117 991850722
Josip 120 795386433
Josip 119 998909451
Josip 121 319494127
Josip 123 1727803
Josip 121 383444603
Josip 122 201201812
Josip 121 702478436
Josip 121 731620481
Josip 124 840068458
Josip 126 837557787
Josip 130 987086193
Josip 130 997876962
Josip 132 89750566
Josip 132 305228240
Josip 133 856691044
Josip 135 746148800
Josip 135 838309180
Josip 136 764510509
Josip 138 884194117
Josip 139 526896338
Josip 140 256998614
Josip 141 5944903
Josip 139 802993904
Josip 141 710438630
Josip 143 698924732
Josip 143 801592009
Josip 145 776324433
Josip 145 818723137
Josip 146 776937621
Josip 145 913913193
Josip 149 477466773
Josip 150 984276108
Josip 151 848508733
Josip 152 863058963
Josip 153 710085916
Josip 155 13517786
Josip 155 373140789
Josip 156 853912380
Josip 156 930739950
Josip 159 468201176
Josip 160 379160802
Josip 161 654050182
Josip 162 317964265
Josip 163 661175849
Josip 162 985854688
Josip 164 24228948
Josip 165 501806608
Josip 164 951476829
Josip 167 473213227
Josip 164 995991741
Josip 164 999009725
Josip 168 216487805
Josip 171 711446479
Josip 169 776828717
Josip 170 798839122
Josip 175 188036467
Josip 176 782584646
Josip 176 939288937
Josip 178 906758143
Josip 178 970523567
Josip 180 215321524
Josip 181 124946595
Josip 182 811757059
Josip 181 950339971
Josip 183 158328172
Josip 182 975264575
Josip 186 791771431
Josip 186 857822779
Josip 188 84305111
Josip 186 958250007
Josip 188 356873061
Josip 191 536575863
Josip 188 965958178
Josip 191 785017076
Josip 191 917119620
Josip 192 893723407
Josip 196 311487443
Josip 196 360980431
Josip 196 725158798
Josip 197 801512297
Josip 197 857834813
Josip 199 565910949
Josip 197 985105453
Josip 199 644028367
Josip 201 334620021
Josip 204 807909927
Josip 202 973803682
Josip 202 980813429
Josip 205 968467124
Josip 205 978909403
Josip 207 745698803
Josip 208 809552218
Josip 207 834657139
Josip 213 503739541
Josip 214 929978696
Josip 214 970455336
Josip 216 236330243
Josip 216 609239939
Josip 217 781127411
Josip 218 929023021
Josip 220 166785383
Josip 221 268752499
Josip 219 975561088
Josip 219 990181825
Josip 224 847615549
Josip 222 934497932
Josip 223 993879706
Josip 226 583505491
Josip 225 792296031
Josip 226 881204411
Josip 225 990232038
Josip 225 997135208
Josip 231 828119902
Josip 232 986295607
Josip 234 590784346
Josip 235 224330786
Josip 234 918729200
Josip 235 630270003
Josip 237 503259645
Josip 236 766752154
Josip 237 730240863
Josip 240 845877441
Josip 240 880788063
Josip 240 902664016
Josip 240 995880633
Josip 242 548329441
Josip 243 982373002
Josip 245 896889009
Josip 248 448100973
Josip 247 492115071
Josip 246 961747425
Josip 248 700782526
Josip 251 383038485
Josip 248 950629168
Josip 247 985365673
Josip 249 846717922
Josip 255 569946202
Josip 255 601273844
Josip 255 673834005
Josip 259 194145382
Josip 253 993486833
Josip 256 984765755
Josip 261 537400677
Josip 261 810699441
Josip 263 575628087
Josip 262 777674663
Josip 263 965898721
Josip 267 486004327
Josip 268 131428619
Josip 267 828402775
Josip 268 724256657
Josip 271 985391534
Josip 272 822011360
Josip 272 826894273
Josip 274 537706674
Josip 273 799698449
Josip 275 464190307
Josip 276 557249839
Josip 275 819854342
Josip 275 838803389
Josip 278 475112617
Josip 281 767890628
Josip 281 799942740
Josip 281 932913077
Josip 282 883305621
Josip 285 585090178
Josip 286 600287961
Josip 286 782652950
Josip 287 809679627
Josip 287 862655392
Josip 290 868280351
Josip 289 940281213
Josip 290 985094429
Josip 290 991879947
Josip 294 516902914
Josip 291 706014223
Josip 295 641904544
