1000
Patrik 426858723
Patrik 812446421
Josip 2 829167631
Josip 3 599134645
Josip 4 186865229
Josip 5 750734603
Josip 6 842801225
Josip 6 950868798
Josip 8 874285178
Josip 10 965552646
Josip 10 966679596
Josip 10 974248779
Josip 12 444295781
Josip 12 697398778
Josip 12 878803467
Josip 13 964686082
Josip 16 790642157
Josip 18 997690089
Josip 19 332020354
Josip 19 685653728
Josip 21 132614233
Josip 20 985333729
Josip 23 635045427
Josip 24 39618671
Josip 24 208061049
Josip 26 125588820
Josip 27 730963406
Josip 27 776237416
Josip 28 283734257
Josip 30 724510438
Josip 31 356275260
Josip 32 956361679
Josip 33 547378910
Josip 33 663781606
Josip 35 98622183
Josip 36 801386724
Josip 35 931004976
Josip 36 996835736
Josip 37 668284177
Josip 38 645954529
Josip 38 725894687
Josip 37 904260476
Josip 39 921616079
Josip 39 954561248
Josip 44 94740185
Josip 43 799752666
Josip 42 979114699
Josip 46 917619124
Josip 45 993336512
Josip 50 373840627
Josip 51 772503114
Josip 52 509818619
Josip 53 679923897
Josip 54 592104392
Josip 55 834395912
Josip 55 877786685
Josip 56 193555476
Josip 58 707769654
Josip 59 664150659
Josip 60 795715936
Josip 60 947295817
Josip 61 300603575
Josip 61 449807684
Josip 61 926744894
Josip 62 826542145
Josip 64 779097040
Josip 66 761427756
Josip 67 921880667
Josip 69 440741940
Josip 68 980852023
Josip 71 215772082
Josip 69 948649334
Josip 71 545651461
Josip 71 983979990
Josip 71 986022950
Josip 72 939190247
Josip 73 847655084
Josip 74 854782023
Josip 79 383131130
Josip 79 873365932
Josip 80 506864859
Josip 79 984025176
Josip 83 783900160
Josip 82 962128146
Josip 81 992640267
Josip 86 234015859
Josip 87 163167187
Josip 84 954313899
Josip 85 870625032
Josip 90 93396643
Josip 88 885514220
Josip 92 920556258
Josip 92 990221997
Josip 94 240577118
Josip 94 568730420
Josip 94 726875872
Josip 93 991608490
Josip 96 795339423
Josip 99 985983643
Josip 100 824185861
Josip 100 959344013
Josip 101 566795344
Josip 101 981503142
Josip 101 990990384
Josip 102 967928331
Josip 106 687590641
Josip 105 970334396
Josip 105 970591275
Josip 104 998827847
Josip 105 999224724
Josip 109 288162637
Josip 108 981924270
Josip 113 629652901
Josip 113 851923042
Josip 115 514819242
Josip 114 826403535
Josip 117 260936189
